kind	id	priority	notes	pattern	flags	replace	exception_in	exception_out	grapheme	out	pos	before	after
grapheme	G_001_TION_SHON	1000	-tion ending -> šon						tion	šon	end		
grapheme	G_002_SION_ZHON	995	-sion ending -> žon (vision->vižon)						sion	žon	end		
grapheme	G_003_CIAN_SHAN	992	-cian ending -> šan (musician->musišan)						cian	šan	end		
grapheme	G_004_TIAL_SHAL	990	-tial ending -> šal (partial->paršal)						tial	šal	end		
grapheme	G_005_TURE_CHUR	988	-ture ending -> čur (future->fučur) (dialect varies)						ture	čur	end		
grapheme	G_006_SURE_SHUR	986	sure->šur family (pressure->prešur)						sure	šur	end		
grapheme	G_007_ABLE_UHBUL	984	-able ending -> ăbəl (stable->stăbəl) (starter)						able	ăbəl	end		
grapheme	G_008_ING_ING	982	-ing ending stays ing (explicit)						ing	ing	end		
grapheme	G_009_ED_D	980	-ed after voiced -> d (played->plād) (starter)						ed	d	end	re:([bdgvzmnrl])	
grapheme	G_010_ED_T	978	-ed after voiceless -> t (worked->wərkt) (starter)						ed	t	end	re:([ptkfθsʃ])	
grapheme	G_011_ED_ID	976	-ed after t/d -> id (wanted->wăntid) (starter)						ed	id	end	re:([td])	
grapheme	G_012_PH_F	970	ph -> f						ph	f	any		
grapheme	G_013_GH_SILENT	968	gh -> ∅ (though->tho) (starter; exceptions exist)						gh	∅	any		
grapheme	G_014_KN_N	966	kn start -> n (knight->night)						kn	n	start		
grapheme	G_015_WR_R	964	wr start -> r (write->rite)						wr	r	start		
grapheme	G_016_MB_M	962	mb end -> m (lamb->lam)						mb	m	end		
grapheme	G_017_GN_N	960	gn end -> n (sign->sin)						gn	n	end		
grapheme	G_018_PS_S	958	ps start -> s (psychology->sychology)						ps	s	start		
grapheme	G_019_RH_R	956	rh start -> r (rhythm->r... )						rh	r	start		
grapheme	G_020_CH_CH	950	ch -> č (church->čurč)						ch	č	any		
grapheme	G_021_SH_SH	948	sh -> š						sh	š	any		
grapheme	G_022_TH_VOICED	946	th -> ð (this/that/the) (starter heuristic: before vowel + common words later)						th	ð	any	vowel	
grapheme	G_023_TH_VOICELESS	944	th -> θ (thin->θin) default						th	θ	any		
grapheme	G_024_WH_W	942	wh -> w (what->wat)						wh	w	any		
grapheme	G_025_QU_KW	940	qu -> kw						qu	kw	any		
grapheme	G_026_CK_K	938	ck -> k						ck	k	any		
grapheme	G_027_TCH_CH	936	tch -> č						tch	č	any		
grapheme	G_028_DGJ_J	934	dge end -> ǧ (bridge->briǧ)						dge	ǧ	end		
grapheme	G_029_GN_NY	932	gn before vowel -> ny (lasagna->lazanya) (starter)						gn	ny	any	vowel	
grapheme	G_030_X_INITIAL_Ẋ	930	initial x before vowel -> ẋ						x	ẋ	start	vowel	
grapheme	G_031_X_DEFAULT_KS	928	x -> ks default						x	ks	any		
grapheme	G_032_C_SOFT_Ć	926	c before e/i/y -> ċ						c	ċ	any	set:eiy	
grapheme	G_033_C_HARD_K	924	c -> k default						c	k	any		
grapheme	G_034_G_SOFT_Ǧ	922	g before e/i/y -> ǧ						g	ǧ	any	set:eiy	
grapheme	G_035_G_HARD_G	920	g hard default (explicit)						g	g	any		
grapheme	G_036_SI_ZH	918	si before vowel -> ž (vision-ish) (starter)						si	ži	any	vowel	
grapheme	G_037_TI_SH	916	ti before vowel -> ši (nation-ish) (starter)						ti	ši	any	vowel	
grapheme	G_038_CE_S	914	ce -> s (cent->sent) (starter)						ce	s	any		
grapheme	G_039_CI_S	912	ci -> s (city->sity) (if you prefer ċ, keep C_SOFT; this is fallback)						ci	ċi	any		
grapheme	G_040_GE_J	910	ge end -> ǧ (age->āǧ) (starter)						ge	ǧ	end		
grapheme	G_041_DJ_J	908	dj -> ǧ						dj	ǧ	any		
grapheme	G_042_TI_A_SH	906	-tia/-tio start morph -> š (partial)						tia	ša	any		
grapheme	G_043_SCI_SH	904	sci -> š (science->šience) (starter)						sci	ši	any		
grapheme	G_044_IGH_AI	900	igh -> ī (high->hī)						igh	ī	end		
grapheme	G_045_EIGH_AY	898	eigh -> ā (eight->āt)						eigh	ā	any		
grapheme	G_046_AI_AY	896	ai -> ā (rain->rān)						ai	ā	any		
grapheme	G_047_AY_AY	894	ay -> ā (day->dā)						ay	ā	any		
grapheme	G_048_EA_LONGE	892	ea -> ē (team->tēm)						ea	ē	any		
grapheme	G_049_EA_SHORTE	890	ea -> ĕ (head->hĕd) (starter context: before d/t)						ea	ĕ	any	re:([dt])	
grapheme	G_050_EE_LONGE	888	ee -> ē (see->sē)						ee	ē	any		
grapheme	G_051_IE_LONGE	886	ie -> ē at end (cookie-ish excluded)						ie	ē	end		
grapheme	G_052_EI_LONGA	884	ei -> ā (vein->vān)						ei	ā	any		
grapheme	G_053_OA_LONGO	882	oa -> ō (boat->bōt)						oa	ō	any		
grapheme	G_054_OE_LONGO	880	oe -> ō (toe->tō)						oe	ō	any		
grapheme	G_055_OO_U_LONG	878	oo -> ū (moon->mūn)						oo	ū	any		
grapheme	G_056_OO_UH	876	oo -> ŭ (book->bŭk) (starter context: before k)						oo	ŭ	any	re:(k)	
grapheme	G_057_OU_OW	874	ou -> ou/ow (out->owt) (starter)						ou	ow	any		
grapheme	G_058_OW_OW	872	ow -> ow (now->now) (explicit)						ow	ow	any		
grapheme	G_059_OI_OY	870	oi -> oi (coin->coin) (explicit)						oi	oi	any		
grapheme	G_060_OY_OY	868	oy -> oy (boy->boy) (explicit)						oy	oy	any		
grapheme	G_061_AU_AW	866	au -> ɔ (cause->cɔse)						au	ɔ	any		
grapheme	G_062_AW_AW	864	aw -> ɔ (saw->sɔ)						aw	ɔ	any		
grapheme	G_063_ER_UR	862	er -> ər (her->hər)						er	ər	any		
grapheme	G_064_IR_UR	860	ir -> ər (bird->bərd)						ir	ər	any		
grapheme	G_065_UR_UR	858	ur -> ər (turn->tərn)						ur	ər	any		
grapheme	G_066_OR_OR	856	or -> ɔr (fork->fɔrk)						or	ɔr	any		
grapheme	G_067_AR_AR	854	ar -> ɑr (car->cɑr)						ar	ɑr	any		
grapheme	G_068_AIR_ARE	852	air -> ê (hair->hêr)						air	êr	any		
grapheme	G_069_ARE_ARE	850	are -> êr (care->cêr)						are	êr	end		
grapheme	G_070_EAR_EER	848	ear -> îr (hear->hîr) (starter)						ear	îr	any		
grapheme	G_071_ORE_OR	846	ore -> ōr (more->mōr)						ore	ōr	end		
grapheme	G_072_URE_YUR	844	ure -> yûr (pure->pyûr) (starter)						ure	yûr	end		
grapheme	G_073_ING_NG	842	ng -> ŋ (sing->siŋ) (optional symbol)						ng	ŋ	any		
grapheme	G_074_NK_NK	840	nk -> ŋk (think->θiŋk) (optional)						nk	ŋk	any		
grapheme	G_075_Y_CONSONANT	838	y at start -> y (yes->yes)						y	y	start		
grapheme	G_076_Y_END_LONGI	836	y at end -> ī (by->bī)						y	ī	end		
grapheme	G_077_A_E_LONGA	834	a_e -> ā (make->māke) (starter)						a	ā	any	re:[^aeiouy]e\b	
grapheme	G_078_E_E_LONGE	832	e_e -> ē (these->thēse) (starter)						e	ē	any	re:[^aeiouy]e\b	
grapheme	G_079_I_E_LONGI	830	i_e -> ī (time->tīme) (starter)						i	ī	any	re:[^aeiouy]e\b	
grapheme	G_080_O_E_LONGO	828	o_e -> ō (home->hōme) (starter)						o	ō	any	re:[^aeiouy]e\b	
grapheme	G_081_U_E_LONGU	826	u_e -> ū (cube->cūbe) (starter)						u	ū	any	re:[^aeiouy]e\b	
grapheme	G_082_SILENT_E_DROP	824	silent e at end -> ∅ (name->nam) (use carefully; often used with long vowel rules)						e	∅	end		
grapheme	G_083_DOUBLE_CONS_REDUCE	820	double consonant -> single (tt->t) (starter; broad)						tt	t	any		
grapheme	G_084_DOUBLE_LL_REDUCE	818	ll -> l						ll	l	any		
grapheme	G_085_DOUBLE_SS_REDUCE	816	ss -> s						ss	s	any		
grapheme	G_086_DOUBLE_PP_REDUCE	814	pp -> p						pp	p	any		
grapheme	G_087_DOUBLE_MM_REDUCE	812	mm -> m						mm	m	any		
grapheme	G_088_DOUBLE_NN_REDUCE	810	nn -> n						nn	n	any		
grapheme	G_089_FINAL_EY_AY	808	ey at end -> ā (they->thā) (starter)						ey	ā	end		
grapheme	G_090_FINAL_OW_O	806	ow at end -> ō (snow->snō) (starter)						ow	ō	end		
grapheme	G_091_SCH_SK	804	sch -> sk (school->skool)						sch	sk	any		
grapheme	G_092_UGH_UF	802	ugh -> ŭf (tough->tŭf) (starter)						ugh	ŭf	end		
grapheme	G_093_AUGH_AW	800	augh -> ɔ (caught-ish) (starter)						augh	ɔ	any		
grapheme	G_094_OWEL_OWEL	798	owel -> owəl (vowel->vowəl) (starter)						owel	owəl	end		
grapheme	G_095_ION_YON	796	-ion -> yon (million->milyon) (starter)						ion	yon	end		
grapheme	G_096_QUE_K	794	-que end -> k (unique->unīk) (starter)						que	k	end		
grapheme	G_097_GUE_G	792	-gue end -> g (vague->vag) (starter)						gue	g	end		
grapheme	G_098_EAU_O	790	eau -> ō (beauty->bōty) (starter)						eau	ō	any		
grapheme	G_099_AWRE_AWR	788	aw before r -> ɔr (war->wɔr) (starter)						ar	ɔr	any		
grapheme	G_100_SILENT_W	786	w before r at start -> ∅ (write handled; this is generic)						w	∅	start		
exception	E_001_THE	0	common voiced th					the					
exception	E_002_THIS	0	common voiced th					this					
exception	E_003_THAT	0	common voiced th					that					
exception	E_004_THESE	0	common voiced th					these					
exception	E_005_THOSE	0	common voiced th					those					
exception	E_006_THERE	0	there vowel				thêr						
